Date,Open,High,Low,Close,Volume,Adj Close
2005-12-30,5446.790039,5446.790039,5385.069824,5408.259766,000,5408.259766
2005-12-29,5464.00,5469.959961,5447.129883,5458.580078,000,5458.580078
2005-12-28,5437.279785,5460.390137,5432.299805,5447.149902,000,5447.149902
2005-12-27,5422.069824,5454.509766,5419.549805,5444.839844,000,5444.839844
2005-12-23,5410.089844,5425.620117,5405.919922,5419.049805,000,5419.049805
2005-12-22,5390.009766,5403.129883,5387.459961,5398.279785,000,5398.279785
2005-12-21,5367.810059,5400.330078,5367.680176,5397.22998,000,5397.22998
2005-12-20,5331.819824,5365.600098,5322.830078,5356.600098,000,5356.600098
2005-12-19,5342.930176,5357.669922,5336.27002,5350.180176,000,5350.180176
2005-12-16,5303.319824,5356.669922,5302.680176,5353.660156,000,5353.660156
2005-12-15,5294.859863,5304.569824,5279.330078,5295.819824,000,5295.819824
2005-12-14,5315.160156,5321.109863,5274.970215,5286.759766,000,5286.759766
2005-12-13,5305.660156,5313.200195,5285.669922,5310.279785,000,5310.279785
2005-12-12,5316.459961,5331.060059,5290.910156,5301.209961,000,5301.209961
2005-12-09,5268.279785,5294.379883,5262.040039,5282.129883,000,5282.129883
2005-12-08,5230.830078,5286.75,5222.240234,5286.75,000,5286.75
2005-12-07,5292.50,5308.790039,5248.72998,5266.75,000,5266.75
2005-12-06,5271.350098,5309.930176,5267.709961,5300.850098,000,5300.850098
2005-12-05,5303.919922,5306.089844,5251.859863,5266.859863,000,5266.859863
2005-12-02,5292.200195,5307.990234,5275.299805,5307.990234,000,5307.990234
2005-12-01,5210.540039,5266.620117,5208.490234,5266.549805,000,5266.549805
2005-11-30,5183.779785,5209.560059,5166.390137,5193.399902,000,5193.399902
2005-11-29,5167.370117,5218.430176,5155.339844,5199.47998,000,5199.47998
2005-11-28,5218.279785,5241.00,5167.910156,5176.589844,000,5176.589844
2005-11-25,5186.910156,5194.310059,5178.649902,5194.27002,000,5194.27002
2005-11-24,5193.149902,5204.140137,5171.560059,5187.97998,000,5187.97998
2005-11-23,5194.549805,5203.379883,5172.790039,5196.080078,000,5196.080078
2005-11-22,5178.959961,5182.72998,5161.350098,5174.720215,000,5174.720215
2005-11-21,5140.350098,5179.549805,5127.069824,5170.609863,000,5170.609863
2005-11-18,5129.120117,5162.509766,5108.930176,5123.50,000,5123.50
2005-11-17,5097.669922,5130.209961,5089.669922,5099.720215,000,5099.720215
2005-11-16,5108.060059,5114.660156,5063.859863,5081.459961,000,5081.459961
2005-11-15,5082.379883,5115.649902,5074.47998,5110.609863,000,5110.609863
2005-11-14,5083.27002,5106.97998,5075.629883,5092.430176,000,5092.430176
2005-11-11,5046.22998,5092.799805,5046.22998,5090.75,000,5090.75
2005-11-10,5024.060059,5047.839844,5003.109863,5015.549805,000,5015.549805
2005-11-09,5018.25,5031.870117,4999.120117,5011.379883,000,5011.379883
2005-11-08,5033.430176,5047.509766,4993.669922,5008.830078,000,5008.830078
